NOMBRE PROYECTO,CÓDIGO BIP,NOMBRE INCIATIVA,COMUNA,UNIDAD EJECUTORA,RUT INSTITUCIÓN,FINANCIAMIENTO,Nº DE BENEFICIARIOS/AS,AÑO DE EJECUCIÓN,RATE,"ESTADO DE LA INICIATIVA (En Ejecución, ejecutada, terminada)",ENLACE DE SEGUIMIENTO,DIVISIÓN,MONTO APROBADO,CONVENIO,OBSERVACIONES
PLAN 21 CANCHAS PARA ÑUBLE,40049475-0,"REPOSICION CANCHA DE FUTBOL CALLE ALEGRE, COMUNA DE SAN IGNACIO",SAN IGNACIO,MUNICIPLAIDAD DE SAN IGNACIO ,69.141.300-4,FNDR,2.779,2023,RS,EJECUCIÓN,CÉSAR NAVARRETE,DIDESOH,$ 380.000.000,FIRMADO,"Terminada, en proceso de recepción de obra"
PLAN 21 CANCHAS PARA ÑUBLE,40049459-0,"CONSTRUCCION CANCHA DE PASTO SINTETICO PASO ANCHO, COMUNA DE SAN FABIAN",SAN FABIAN,MUNICIPALIDAD DE SAN FABIAN ,69.140.700-4,FNDR,1013,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.861.000,FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,40047232-0,CONSTRUCCIÓN CANCHA PASTO SINTÉTICO CENTRO RECREATIVO MUNICIPAL JOSÉ PEDRO HADI COMUNA DE QUIRIHUE,QUIRIHUE,MUNICIPALIDAD DE QUIRIHUE ,69.140.100-6,FNDR,2.549,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.850.000,FIRMADO,"TERMINADA, PENDIENTE DE INAUGURACIÓN "
PLAN 21 CANCHAS PARA ÑUBLE,40047896-0,"CONSTRUCCION CANCHA PASTO SINTETICO CLUB DEPORTIVO UNION, ANFA, CHILLAN",CHILLÁN,MUNICIPALIDAD DE CHILLAN ,69.140.900-7,FNDR,39.869,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,"$435,530,763",FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,30480687-0,"CONSTRUCCION CARPETA PASTO SINTETICO Y CIERRE PERIMETRAL CANCHA DE RECINTO,COMUNA DE PINTO",PINTO,MUNICIPALIDAD DE PINTO ,69.141.000-5,FNDR,2.008,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.987.000,FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,40048490-0,"CONSTRUCCION CANCHA DE FUTBOL EN PASTO SINTETICO ANFA, VILLA EL PROGRESO,COMUNA DE BULNES",BULNES,MUNICIPALIDAD BULNES,69.141.200-8,FNDR,1.569,2023,RS,EJECUCIÓN,CÉSAR NAVARRETE,DIDESOH,$ 380.000.000,FIRMADO,"EN PROCESO DE TERMINO ANTICIPADO DE CONTRATO, POR INCUMPLIMIENTO Y ABANDONO POR PARTE DE LA EMPRESA ADJUDICADA. "
PLAN 21 CANCHAS PARA ÑUBLE,40048786-0,"CONSTRUCCION CANCHA DE PASTO SINTETICO MARIANO EGAÑA, CHILLAN VIEJO",CHILLÁN VIEJO,MUNICIPALIDAD DE CHILLAN VIEJO ,69.266.500-7,FNDR,,2023,RS,,CÉSAR NAVARRETE,DIDESOH,$ 380.000.000,FIRMADO,SE REALIZARA UNA NUEVA INICIATIVA.
PLAN 21 CANCHAS PARA ÑUBLE,40045447-0,"REPOSICION CANCHA DE FUTBOL TALQUIPEN, COMUNA DE COIHUECO",COIHUECO,MUNICIPALIDAD COIHUECO, 69.141.100-1,FNDR,1.797,2023,RS,PARALIZADA,CÉSAR NAVARRETE,DIDESOH,$ 380.000.000,FIRMADO,En ejecución. 
PLAN 21 CANCHAS PARA ÑUBLE,40047370-0,"CONSTRUCCION CANCHA DE FUTBOL SECTOR LAS ARBOLEDAS, SAN CARLOS",SAN CARLOS,MUNICIPALIDAD DE SAN CARLOS ,69.150.500-1,FNDR,2.972,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.772.000,FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,40047722-0,"CONSTRUCCION CANCHA PASTO SINTÉTICO Y CIERRE PERIMETRAL, CERRO NEGRO, COMUNA DE QUILLÓN",QUILLON,MUNICIPALIDAD DE QUILLON ,69.141.400-0,FNDR,3623,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.965.000,FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,40048158-0,CONSTRUCCION CANCHA DE FUTBOL SECTOR GENERAL CRUZ COMUNA DE PEMUCO,PEMUCO,MUNICIPALIDAD DE PEMUCO ,69.141.600-3,FNDR,486,2023,RS,EJECUCIÓN,CÉSAR NAVARRETE,DIDESOH,$ 370.910.000,FIRMADO,70% DE EJECUCIÓN A LA FECHA 03-10-2025
PLAN 21 CANCHAS PARA ÑUBLE,40048400-0,"REPOSICION CANCHA DE FUTBOL, RECINTO DEPORTIVO TREHUACO",TREHUACO,MUNICIPALIDAD DE TREHUACO ,69.250.600-6,FNDR,5.401,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.950.000,FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,40038617-0,"CONSTRUCCION CANCHA DE FUTBOL SECTOR LAJUELAS, COMUNA DE SAN NICOLÁS",SAN NICOLAS,MUNICIPALIDAD DE SAN NICOLAS ,69.140.800-0,FNDR,1.233,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.861.000,FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,40047478-0,"CONSTRUCCION CANCHA PASTO SINTETICO Y CIERRE PERIMETRAL, GRADO VOCACIONAL, COMUNA DE YUNGAY",YUNGAY,MUNICIPALIDAD YUNGAY,"69.141.500-7
",FNDR,6748,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.997.000,FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,40048087-0,"CONSTRUCCION CANCHA DE FUTBOL, SAN IGNACIO PALOMARES COMUNA DE RÁNQUIL",RANQUIL,MUNICIPALIDAD DE RANQUIL ,69.150.300-3,FNDR,2085,2023,RS,EJECUCIÓN,CÉSAR NAVARRETE,DIDESOH,$ 378.000.000,FIRMADO,TERMINADA EN PROCESO DE RECEPCION DE OBRA 
PLAN 21 CANCHAS PARA ÑUBLE,40049560-0,"CONSTRUCCION CANCHA PASTO SINTÉTICO Y CIERRE PERIMETRAL SECTOR ÑIQUÉN ESTACIÓN, ÑIQUÉN",ÑIQUEN,MUNICIPALIDAD DE ÑIQUEN ,69.140.600-8 ,FNDR,3230,2023,RS,EJECUCIÓN,CÉSAR NAVARRETE,DIDESOH,$ 380.000.000,FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,40049932-0,"CONSTRUCCION CANCHA DE PASTO SINTETICO PARQUE SUR, COMUNA DE EL CARMEN",EL CARMEN,MUNICIPALIDAD EL CARMEN,69.141.700-K,FNDR,1954,2023,RS,TERMINADA,CÉSAR NAVARRETE,DIDESOH,$ 380.000.000,FIRMADO,"TERMINADA, PENDIENTE DE INAUGURACIÓN "
PLAN 21 CANCHAS PARA ÑUBLE,40049545-0,"CONSTRUCCION CANCHA PASTO SINTETICO Y CIERRE PERIMETRAL SECTOR PULLAY, COMUNA DE COBQUECURA",COBQUECURA,MUNICIPLAIDAD DE COBQUECURA ,69.140.400-5,FNDR,644,2023,RS,EN PROCESO DE LICITACIÓN,CÉSAR NAVARRETE,DIDESOH,$ 379.479.000,FIRMADO,EN PROCESO DE LICITACIÓN 
PLAN 21 CANCHAS PARA ÑUBLE,40045787-0,"CONSTRUCCION CANCHA PASTO SINTETICO Y CIERRE PERIMETRAL SECTOR COYANCO, COMUNA DE NINHUE",NINHUE,MUNICIPALIDAD DE NINHUE ,69.140.300-9,FNDR,1493,2023,RS,EJECUCIÓN,CÉSAR NAVARRETE,DIDESOH,$ 393.149.000,FIRMADO,TERMINADA EN PROCESO DE RECEPCION DE OBRA 
PLAN 21 CANCHAS PARA ÑUBLE,40049625-0,"CONSTRUCCION CANCHA DE PASTO SINTETICO SECTOR LLAHUEN, COMUNA DE PORTEZUELO",PORTEZUELO,MUNICIPALIDAD DE PORTEZUELO ,69.140.200-2,FNDR,254,2024,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.942.000,FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,40045061-0,"CONSTRUCCION DE CANCHA PASTO SINTETICO Y CIERRE PERIMETRAL, SECTOR GUARILIHUE, COELEMU",COELEMU,MUNICIPALIDAD COELEMU, 69.150.200-7,FNDR,1661,2023,RS,EN PROCESO DE LICITACIÓN,CÉSAR NAVARRETE,DIDESOH,$ 379.533.000,FIRMADO,EN EJECUCIÓN 
"ADQUISICIÓN CAMARINES Y BAÑOS MODULARES,
PROVINCIA DE PUNILLA, REGIÓN DE ÑUBLE",40059011-0,"ADQUISICIÓN CAMARINES Y BAÑOS MODULARES,
PROVINCIA DE PUNILLA, REGIÓN DE ÑUBLE",SAN CARLOS ,ASOCIACIÓN DE MUNICIPALIDADES DEL PUNILLA – REGIÓN DE ÑUBLE,69.262.000-3,"FNDR
VIA C33",65.205,2026,RS,,CÉSAR NAVARRETE,DIDESOH ,"
$ 1.059.300.000",CON RESPERCTO AL CONVENIO SE ACORDO QUE ANTES DE LA FIRMA DE ESTE LOS MUNICIPIOS DEBEN TENER HABILITADAS LAS OBRAS COMPROMETIDAS. ,"ACTUALMENTE, LOS MUNICIPIOS SE ENCUENTRAN EN PROCESO DE HABILITAR LOS ESPACIOS E INFRAESTRUCTURA NECESARIOS PARA LA INSTALACIÓN DEL EQUIPAMIENTO Y SU PUESTA EN FUNCIONAMIENTO. FECHA ESTIMATIVA PARA LA INSTALACIÓN DEL EQUIPAMIENTO, PRIMER TRIMESTRE DEL AÑO 2026. ADEMAS EN EL MES DE NOVIEMBRE SE REALIZARA UNA REUNIÓN DE SEGUIRMIENTO A LOS COMPROMISOS REALIZADOS POR LOS MUNICIPIOS CORRESPONDIENTES. "
MEJORAMIENTO COMPLEJO ANFA CHILLAN ,-,-,CHILLAN ,MUNICIPALIDAD DE CHILLAN ,,-,-,-,,,CÉSAR NAVARRETE,DIDESOH ,"$1,000,000,000",,LA INICIATIVA SE ENCUENTRA EN PROCESO DE ANALISIS DE FINANCIAMIENTO. 
CONSERVACIÓN DE ESTABLECIMIENTOS EDUCACIONALES,40052836-0,"CONSERVACIÓN JARDÍN INFANTIL Y SALA CUNA ESTRELLITAS DE LUZ (Iniciativa en colaboración con MINEDUC, RS)",CHILLÁN,MUNICIPALIDAD DE CHILLAN ,69.140.900-7,FNDR,33,2025,RS,EN PROCESO DE LICITACIÓN,GONZALO SANDOVAL,DIDESOH,152.781.238,FIRMADO,"ESTA 90% AVANCE FINANCIERO A LA ESPERA DE PAGO POR PARTE DEL GORE, PARA TERMINAR NECESITA CONEXIÓN DE EMPALME ELÉCTRICO Y AHI SE SOLICITA LA RECEPCIÓN PROVISORIA Y SE COBRA ÚLTIMO ESTADO DE PAGO QUE SERÁ CANCELADO CON FONDOS 2026."
CONSERVACIÓN DE ESTABLECIMIENTOS EDUCACIONALES,40052872-0,"CONSERVACIÓN ESCUELA ESPECIAL LAS ACACIAS, CHILLÁN (Iniciativa en colaboración con MINEDUC, RS)",CHILLÁN,MUNICIPALIDAD DE CHILLAN ,69.140.900-7,FNDR,101,2025,RS,EN PROCESO DE LICITACIÓN,GONZALO SANDOVAL,DIDESOH,398.905.680,FIRMADO,80% DE AVANCE
CONSERVACIÓN DE ESTABLECIMIENTOS EDUCACIONALES,40052561-0,"CONSERVACIÓN ESCUELA VILLA JESUS DE COELEMU, COMUNA DE COELEMU (Iniciativa en colaboración con MINEDUC, RS)",COELEMU,MUNICIPALIDAD DE COELEMU, 69.150.200-7,FNDR,649,2025,RS,EN PROCESO DE LICITACIÓN,GONZALO SANDOVAL,DIDESOH,573.101.000,FIRMADO,PRELICITACION
CONSERVACIÓN DE ESTABLECIMIENTOS EDUCACIONALES,40052865-0,"CONSERVACIÓN LICEO BICENTENARIO NIBALDO SEPÚLVEDA FERNÁNDEZ, COMUNA DE PORTEZUELO (Iniciativa en colaboración con MINEDUC, RS)",PORTEZUELO,MUNICIPALIDAD DE PORTEZUELO ,69.140.202-9,FNDR,378,2025,RS,EN PROCESO DE LICITACIÓN,GONZALO SANDOVAL,DIDESOH,466.972.000,FIRMADO,SE APROBÓ EL CONVENIO MANDATO EL 17 DE OCTUBRE POR LO TANTO SE ENVÍA TOMA RAZON POR CGR
CONSERVACIÓN DE ESTABLECIMIENTOS EDUCACIONALES,40049791-0,"CONSERVACIÓN ESCUELA GLORIAS NAVALES, COMUNA DE NINHUE (Iniciativa en colaboración con MINEDUC, RS)",NINHUE,MUNICIPALIDAD DE NINHUE ,69.140.300-9,FNDR,286,2025,RS,EN PROCESO DE LICITACIÓN,GONZALO SANDOVAL,DIDESOH,194.475.617,FIRMADO,"PARALIZADA CON UN 90% AVANCE, A LA ESPERA DE VISITA TÉCNICA DE CGE DONDE SE DEFINIRÁ EMPLAZAMIENTO DE EMPALME CON SUS NECESIDADES TÉCNICAS."
CONSERVACIÓN DE ESTABLECIMIENTOS EDUCACIONALES,40034891-0,"CONSERVACIÓN LICEO POLIVALENTE LUIS CRUZ MARTINEZ, QUILLÓN (Iniciativa en colaboración con MINEDUC, RS)",QUILLÓN,MUNICIPALIDAD DE QUILLON ,69.141.400-0,FNDR,396,2025,RS,EN PROCESO DE LICITACIÓN,GONZALO SANDOVAL,DIDESOH,378.803.730,FIRMADO,TERMINADA
CONSERVACIÓN DE ESTABLECIMIENTOS EDUCACIONALES,40051823-0,"CONSERVACIÓN LICEO POLIVALENTE JOSÉ ARTURO PACHECO ALTAMIRANO, CHILLÁN VIEJO (Iniciativa en colaboración con MINEDUC, RS)",CHILLÁN VIEJO,MUNICIPALIDAD DE CHILLAN VIEJO ,69.266.500-7,FNDR,442,2025,RS,EN PROCESO DE LICITACIÓN,GONZALO SANDOVAL,DIDESOH,436.710.883,,EN MODIFICACIÓN DE CONVENIO POR AUMENTO DE RECURSOS
CONSERVACIÓN DE ESTABLECIMIENTOS EDUCACIONALES,40052689-0,"CONSERVACIÓN SALA CUNAY JARDÍN INFANTIL LOS ENANITOS, SAN NICOLÁS (Iniciativa en colaboración con MINEDUC, RS)",SAN NICOLÁS,MUNICIPALIDAD DE SAN NICOLAS ,69.140.800-0,FNDR,52,2025,RS,EN PROCESO DE LICITACIÓN,GONZALO SANDOVAL,DIDESOH,214.692.000,FIRMADO,"EN FIRMA DE CONVENIO, TOMA RAZON POR CGR"