,,,,,,,,,,,,,,,
,TOTAL 2021,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,
,MARCO PRESUPUESTARIO VIGENTE,,"$52,654,984","$51,127,063","$51,127,063","$51,127,063","$51,858,914","$52,179,536","$52,179,536","$52,179,536","$52,179,536","$52,179,536","$51,752,536","$45,112,559",
,EJECUTADO X MES,,$0,"$152,505","$3,030,359","$1,488,396","$880,769","$1,574,463","$3,206,876","$2,096,523","$3,769,487","$4,173,765","$4,852,676","$14,571,545","$14,571,545"
,% EJECUTADO X MES,,0.00%,0.30%,5.93%,2.91%,1.70%,3.02%,6.15%,4.02%,7.22%,8.00%,9.38%,32.30%,
,EJECUTADO ACUMULADO,,$0,"$152,505","$3,182,864","$4,671,260","$5,552,029","$7,126,492","$10,333,368","$12,429,891","$16,199,378","$20,373,143","$25,225,819","$39,797,364","$5,315,195"
,% EJECUTADO ACUMULADO,,0.00%,0.30%,6.23%,9.14%,10.71%,13.66%,19.80%,23.82%,31.05%,39.04%,48.74%,88.22%,
,% EJECU. DIPRES,,0.00%,0.30%,6.23%,9.14%,10.71%,13.66%,19.83%,23.85%,31.09%,39.09%,48.79%,88.21%,
,EJECUTADO ACUMULADO (DIPRES),,$0,"$152,505","$3,182,864","$4,671,260","$5,552,029","$7,126,489","$10,346,666","$12,443,189","$16,223,956","$20,397,754","$25,250,429","$39,793,664",0.8820972448
,% EJECU. DIPRES X MES,,0.00%,0.30%,5.93%,2.91%,1.70%,3.02%,6.17%,4.02%,7.25%,8.00%,9.38%,32.24%,
,EJECUTADO X MES (DIPRES),,$0,"$152,505","$3,030,359","$1,488,396","$880,769","$1,574,460","$3,220,177","$2,096,523","$3,780,767","$4,173,798","$4,852,675","$14,543,235",
,,,,,,,,$3,"-$13,298","-$13,298","-$24,578","-$24,611","-$24,610","$3,700",
,DIFERENCIAS POR MES,,$0,$0,$0,$0,$0,$3,"-$13,301",$0,"-$11,280",-$33,$1,"$28,310",
,,,,,,,,,,,,,FIC,"-$1,548,625",
,,,,,,,,,,,,,FIA y APL,"-$454,000",
,MES,2019,2020,2021,2021 *,,,,,,,,31 (Grandes Obras ),"-$420,500",
,ENE,0.00%,0.10%,0.00%,0.00%,,,,,,,,GLOSA 2.3,"-$360,000",
,FEB,0.00%,1.70%,0.30%,0.30%,,,,,,,,29 (Vehiculos y Maquinarias),"-$336,799",
,MAR,0.00%,5.10%,6.23%,6.23%,,,,,,,,RENUEVA TU MICRO,"-$330,270",
,MAY,13.10%,13.30%,10.71%,10.71%,,,,,,,,INDAP,"-$169,762",
,JUN,33.10%,34.20%,13.66%,13.66%,,,,,,,,SAG,"-$112,216",
,JUL,37.30%,46.90%,19.80%,19.80%,,,,,,,,SUBVENCIONES,"-$66,938",
,AGO,61.30%,51.60%,23.82%,23.82%,,,,,,,,33 03 125 (FRIL),"-$50,308",
,SEP,71.20%,67.70%,31.05%,31.05%,,,,,,,,CORFO,"-$43,551",
,OCT,81.60%,75.30%,39.04%,39.04%,,,,,,,,CNR,"-$39,861",
,NOV,,,48.74%,48.74%,,,,,,,,FOSIS,"-$38,592",
,DIC,98.60%,97.50%,88.22%,88.22%,,,,,,,,MOP-DOH,"-$34,564",
,,,,,,,,,,,,,SSÃ‘,"-$32,651",
,,,,,,,,,,,,,SERNATUR,"-$8,980",
,,,,,,,,,,,,,PROCHILE,"-$6,362",
,,,,,,,,,,,,,MEDIO AMBIENTE,"-$6,099",
,,,,,,,,,,,,,BIENES NACIONALES,"-$3,798",
,,,M$,,,,,,,,,,SERCOTEC,"-$1,900",
,Rebaja marco transf. 02 a 01,,"$427,000",,Rebaja Marco NOV,,,,,,,,,"-$4,065,776",
,Rebaja Emergencia DIC,,"$1,734,315",,Rebaja Marco DIC,,,,,,,,,,
,Rebaja Emergencia DIC,,"$4,905,662",,Rebaja Marco DIC,,,,,,,,,,